,Unnamed: 0,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
36,36,BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.7,,
37,37,CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,6.7,,
38,38,CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,2.8,,
39,39,DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.3,,
40,40,FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.9,,
41,41,FRA,France,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,8.1,,
42,42,DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.9,,
43,43,GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,23.7,,
44,44,HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.7,,
45,45,ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,0.7,,
46,46,IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,10.5,,
47,47,ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,12.1,,
48,48,JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,2.4,,
49,49,KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,3.1,,
50,50,LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,1.4,,
51,51,MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,5.5,,
52,52,NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.9,,
53,53,POL,Poland,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,6.0,,
54,54,PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,10.2,,
55,55,SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,8.4,,
56,56,ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,21.1,,
57,57,SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,3.9,,
58,58,TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,10.2,,
59,59,GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.9,,
60,60,USA,United States,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,7.8,,
61,61,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,7.0,,
62,62,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,4.1,,
63,63,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,11.1,,
64,64,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,MN,Men,PC,Percentage,0,Units,,,5.0,,
66,66,AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,5.0,,
67,67,AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.7,,
68,68,BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.7,,
69,69,CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,5.4,,
70,70,CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,3.5,,
71,71,DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,4.1,,
72,72,FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.9,,
73,73,FRA,France,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,7.0,,
74,74,DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,4.2,,
75,75,GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,36.0,,
76,76,HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,4.6,,
77,77,ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,0.7,,
78,78,IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,5.2,,
79,79,ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,12.5,,
80,80,JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,0.3,,
81,81,KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.1,,
82,82,LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,1.9,,
83,83,MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,5.5,,
84,84,NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,4.7,,
85,85,POL,Poland,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,5.3,,
86,86,PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,9.7,,
87,87,SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,11.4,,
88,88,ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,25.0,,
89,89,SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,2.4,,
90,90,TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,14.9,,
91,91,GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,4.2,,
92,92,USA,United States,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,7.6,,
93,93,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,10.3,,
94,94,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,3.6,,
95,95,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,8.0,,
96,96,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,WMN,Women,PC,Percentage,0,Units,,,6.5,,
98,98,AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.29,,
99,99,AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.67,,
100,100,BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.19,,
101,101,CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,4.17,,
102,102,CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,1.5,,
103,103,DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,3.65,,
104,104,FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,3.41,,
105,105,FRA,France,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,4.11,,
106,106,DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.41,,
107,107,GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,23.78,,
108,108,HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,1.62,,
109,109,ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,0.59,,
110,110,IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,4.1,,
111,111,ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,6.98,,
112,112,JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.65,,
113,113,KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.6,,
114,114,LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.02,,
115,115,MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,6.26,,
116,116,NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,3.07,,
117,117,POL,Poland,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.92,,
118,118,PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,7.46,,
119,119,SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,5.02,,
120,120,ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,13.05,,
121,121,SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.15,,
122,122,TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,11.48,,
123,123,GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,3.1,,
124,124,USA,United States,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,4.35,,
125,125,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,6.64,,
126,126,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,2.43,,
127,127,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,4.59,,
128,128,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,HGH,High,PC,Percentage,0,Units,,,3.84,,
130,130,AUS,Australia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,11.02,,
131,131,AUT,Austria,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,7.31,,
132,132,BEL,Belgium,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,6.97,,
133,133,CAN,Canada,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,12.97,,
134,134,CZE,Czech Republic,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,25.14,,
135,135,DNK,Denmark,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,6.78,,
136,136,FIN,Finland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,7.43,,
137,137,FRA,France,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,15.09,,
138,138,DEU,Germany,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,10.43,,
139,139,GRC,Greece,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,32.72,,
140,140,HUN,Hungary,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,10.66,,
141,141,ISL,Iceland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,0.62,,
142,142,IRL,Ireland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,16.32,,
143,143,ITA,Italy,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,16.78,,
144,144,JPN,Japan,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,4.35,,
145,145,KOR,Korea,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,1.11,,
146,146,LUX,Luxembourg,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,1.59,,
147,147,MEX,Mexico,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,4.22,,
148,148,NLD,Netherlands,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,7.18,,
149,149,POL,Poland,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,15.0,,
150,150,PRT,Portugal,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,10.76,,
151,151,SVK,Slovak Republic,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,72.16,,
152,152,ESP,Spain,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,36.71,,
153,153,SWE,Sweden,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,9.51,,
154,154,TUR,Turkey,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,11.22,,
155,155,GBR,United Kingdom,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,7.02,,
156,156,USA,United States,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,17.91,,
157,157,CHL,Chile,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,8.2,,
158,158,EST,Estonia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,8.03,,
159,159,LVA,Latvia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,23.29,,
160,160,SVN,Slovenia,JE_LMIS,Labour market insecurity,L,Value,LW,Low,PC,Percentage,0,Units,,,10.55,,
162,199,AUT,Austria,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.9,,
163,200,BEL,Belgium,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.9,,
164,201,CAN,Canada,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.2,,
165,202,CZE,Czech Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.7,,
166,203,DNK,Denmark,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.5,,
167,204,FIN,Finland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.5,,
168,205,FRA,France,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.5,,
169,206,DEU,Germany,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.2,,
170,207,GRC,Greece,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.5,,
171,208,HUN,Hungary,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,4.7,,
172,209,ISL,Iceland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.0,,
173,210,IRL,Ireland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.0,,
174,211,ITA,Italy,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.7,,
175,212,JPN,Japan,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,6.4,,
176,213,KOR,Korea,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,2.5,,
177,214,LUX,Luxembourg,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.5,,
178,215,MEX,Mexico,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,25.5,,
179,216,NLD,Netherlands,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.1,,
180,217,NOR,Norway,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.0,,
181,218,POL,Poland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,3.0,,
182,219,PRT,Portugal,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.0,,
183,220,SVK,Slovak Republic,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,1.2,,
184,221,ESP,Spain,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.1,,
185,222,SWE,Sweden,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.0,,
186,223,CHE,Switzerland,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.1,,
187,224,TUR,Turkey,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,8.0,,
188,225,GBR,United Kingdom,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.3,,
189,226,USA,United States,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.1,,
190,227,BRA,Brazil,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,6.7,,
191,228,CHL,Chile,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,9.4,,
192,229,EST,Estonia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,7.0,,
193,230,LVA,Latvia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,13.9,,
194,231,RUS,Russia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,14.8,,
195,232,SVN,Slovenia,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,0.4,,
196,233,ZAF,South Africa,HO_BASE,Dwellings without basic facilities,L,Value,TOT,Total,PC,Percentage,0,Units,,,37.0,,
198,235,AUS,Australia,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.0,,
199,236,AUT,Austria,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,
200,237,BEL,Belgium,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,
201,238,CAN,Canada,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,22.0,,
202,239,CZE,Czech Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,24.0,,
203,240,DNK,Denmark,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,23.0,,
204,241,FIN,Finland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,23.0,,
205,242,FRA,France,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,
206,243,DEU,Germany,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.0,,
207,244,GRC,Greece,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,23.0,,
208,245,HUN,Hungary,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,19.0,,
209,246,ISL,Iceland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,24.0,,
210,247,IRL,Ireland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.0,,
211,248,ITA,Italy,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,23.0,,
212,249,JPN,Japan,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,22.0,,
213,250,KOR,Korea,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,15.0,,
214,251,LUX,Luxembourg,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,
215,252,MEX,Mexico,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.0,,
216,253,NLD,Netherlands,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,19.0,,
217,254,NZL,New Zealand,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,26.0,,
218,255,NOR,Norway,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,17.0,,
219,256,POL,Poland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,22.0,,
220,257,PRT,Portugal,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,
221,258,SVK,Slovak Republic,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,23.0,,
222,259,ESP,Spain,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,21.0,,
223,260,SWE,Sweden,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,19.0,,
224,261,CHE,Switzerland,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,22.0,,
225,262,TUR,Turkey,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,20.0,,
226,263,GBR,United Kingdom,HO_HISH,Housing expenditure,L,Value,TOT,Total,PC,Percentage,0,Units,,,26.0,,
